分类目录,文件名,来源,建议投放位置,裁切区域xyxy
05_骰子投掷与结果,02_投掷盘_骰托_结果展框_四款.png,骰子投掷与结果展示设计图.png,投骰盘背景/骰托/结果展框/空面板,"(850, 70, 1410, 330)"
05_骰子投掷与结果,03_单骰双骰多骰结果牌.png,骰子投掷与结果展示设计图.png,单骰结果/双骰结果/多骰结果,"(30, 350, 1410, 505)"
05_骰子投掷与结果,04_骰子近景展示卡.png,骰子投掷与结果展示设计图.png,阴骰/阳骰/原始气骰近景展示,"(30, 505, 630, 710)"
05_骰子投掷与结果,05_结果徽章与数字印章.png,骰子投掷与结果展示设计图.png,阴阳气结果徽章/成功失败/吉凶/数字印章,"(670, 505, 1385, 705)"
05_骰子投掷与结果,06_投掷操作按钮组.png,骰子投掷与结果展示设计图.png,投掷/重投/确认/收起按钮,"(30, 710, 815, 870)"
05_骰子投掷与结果,07_投掷动画关键帧示意.png,骰子投掷与结果展示设计图.png,投骰对象动画流程参考,"(690, 720, 1390, 860)"
05_骰子投掷与结果,08_特效底板资源.png,骰子投掷与结果展示设计图.png,气流/阴阳/原始气涡流底板,"(30, 875, 1410, 1045)"
06_清单说明,卷轴战盘风_ui_设计规范.png,卷轴战盘风_ui_设计规范.png,风格参考/不建议直接切图投产,原图
06_清单说明,卷轴战盘风ui设计规范.png,卷轴战盘风ui设计规范.png,风格参考/不建议直接切图投产,原图
06_清单说明,武侠桌游_ui_设计参考.png,武侠桌游_ui_设计参考.png,风格参考/不建议直接切图投产,原图
06_清单说明,武侠桌游ui设计参考图.png,武侠桌游ui设计参考图.png,风格参考/不建议直接切图投产,原图
