
=== Sheet: 00_修订说明 ===
招式库小样本：响应挂载与势前置修订																									
2026年6月19日｜根据最新口径：截击/应招作为招式挂载用法；删除通用招式链前置；增强势前置生态位。																									
修订点	确定口径	数据库变化																							
响应挂载	截击和应招不再默认作为独立招式扩张，而是挂载在外功、法门、装备或少量专门条目上。响应窗口可单独调用挂载效果。	新增“响应挂载明细”表；主表只标记是否挂载截击/应招。																							
独立投入与门槛	截击用法、应招用法有自己的最低投入、气性门槛、势条件、装备许可和资源去向。	响应明细表单独写“最低投入、气性门槛、势条件、装备许可、基础响应效果、槽值触发”。																							
去除招式链前置	普通招式不再默认要求上一招是什么，避免只能按顺序打招式。	主表将“前置门槛”改为“硬前置说明”，大多数为“无”。																							
势前置增强	强度控制主要交给势条件、最低投入、装备许可、距离条件、状态条件和风险。	新增“势条件类型、允许势范围”；强招/强响应可要求单一势。																							
低级招式放宽	低级招式多数无势或宽势，允许多个势状态使用。	低级条目多写“宽势/无势”，不锁单一势。																							
强招限制	中强招式、绝式、强截击、强应招可以要求较窄势范围或单一势。	强度标尺转入“势生态表”。																							

=== Sheet: 01_招式主表 ===
招式ID	招式名	大类	子类	层级	设计档	阴阳路数标签	主用法时点	式位	最低投入	气性门槛	势条件类型	允许势范围	硬前置说明	对象/距离/装备许可	基础效果	主槽触发	合值触发	差值/风险	成招后转势	资源去向	挂载截击	挂载应招	设计备注		
FM002	行气解穴	法门	行气	行家	B	中平	正式出手	无	3枚气骰	至少1原始，或阴阳各1	无势	任意	无	自己或相邻同伴；需接触或行气许可；目标有封穴	指定封穴-1层	阴值≥8：封穴影响的1枚气骰本轮可正常回收	合值≥12：封穴再-1层	阴阳差≥5：施法者失势	不改势	已用常规气骰入息库	否	是	行气法门可挂载应招，用于封穴将落果前处理		
FM003	压场问话	法门	交涉	俗家	C	少阳	正式出手/情景	无	2枚气骰	至少1阳	无势	任意	无	人物或小群体；同场可闻	危机-1，或取得一句明确态度	阳值≥7：写入“暂时压住场面”许可	合值≥10：取得一项可追问入口	阴阳差≥5：关系事实写入“冒犯某人”	不改势	已用常规气骰入息库	是	是	交涉法门的截击/应招主要处理话术、号令和情景压力		
FM004	简药止血	法门	医药	俗家	C	少阴	正式出手/情景	无	2枚气骰	至少1阴	无势	任意	无	自己或接触目标；有药物、布条或可替代材料	流血-1，或气血+2（二选一）	阴值≥7：额外气血+2	合值≥10：流血再-1	阴阳差≥5：药物资源消耗+1	不改势	已用常规气骰入息库；药物按条目消耗	否	是	医药应招挂载用于结果落地前急救		
FM005	残页参悟	法门	读谱	行家	B	中平	整备/情景	无	3枚气骰	至少1原始	无势	任意	无	谱本、残页、口诀或战后招痕	记忆进度+1	阴值≥8：排除一项误读	合值≥12：打开整理许可	阴阳差≥5：记录“疑义待校”	不改势	整备气骰按场景规则处理	否	否	读谱不挂载交锋响应，避免滥用		

=== Sheet: 02_响应挂载明细 ===
挂载ID	招式ID	招式名	响应类型	可单独调用	响应时点	最低投入	气性门槛	势条件类型	允许势范围	装备/对象许可	基础响应效果	主槽触发	合值触发	差值/风险	响应后转势	资源去向	限制说明								
RG001	WG001	破浪横刀	截击	是	宣言后、配置前	2枚气骰	至少1阳	宽势	阳盛/合势/失势	近身；主手刀；目标声明近身外功	目标1枚锁气本次不能进入阳槽	阳值≥7：该锁气改入息库	合值≥10：目标本次基础效果-2气血	阴阳差≥5：自身破口1层	阳盛	截击气骰入息库	只处理锁气与基础效果，不自动造成主用法伤害								
RG002	WG001	破浪横刀	应招	是	成招后、落果前	2枚气骰	至少1阳	宽势	阳盛/合势/圆融	自己成为近身气血目标；主手刀或副手刀	抵消气血3点	阳值≥7：额外抵消气血2点	合值≥10：可将自己退距1档	阴阳差≥5：自身迟滞1层	不改势	应招气骰入息库	应招只处理自身目标线								
RG003	WG002	回潮压刃	截击	是	宣言后、配置前	3枚气骰	至少1阴1阳	中势	阳盛/合势	近身；主手刀；目标正在退距或换位	关闭目标本次退距附加效果	阳值≥8：目标迟滞1层	合值≥12：目标锁气中1枚最低点气骰入息库	阴阳差≥5：自身失势	合势	截击气骰入息库	中级截击要求较窄势范围								
RG004	WG003	分涛断势	截击	是	宣言后、配置前	3枚气骰	至少2阴	中势	阴盛/圆融	近身或相邻目标线；目标宣言依赖势条件的中强招式	目标本次势条件视为不满足	阴值≥8：目标由当前势转入失势	合值≥14：目标本次动作不成招	阴阳差≥6：自身迟滞1层	阴盛	截击气骰入息库	强截击体现势生态位，专门处理势前置								
RG005	WG004	收刀归息	应招	是	成招后、落果前	2枚气骰	任意气性	宽势	合势/圆融/阴盛/阳盛	自己成为轻状态或破口目标；需可收束姿态	抵消1层破口或迟滞	阴值≥7：再抵消1层轻状态	合值≥10：取回1枚最低阶已用常规气骰入气海；限每轮1次	阴阳差≥5：自身失势	圆融	应招气骰入息库；取回气骰入气海	这类应招偏自保和回收，不反击								
RG006	WG006	燕回侧步	截击	是	宣言后、配置前	2枚气骰	至少1阴	宽势	阴盛/合势/失势	目标宣言追身、锁定或近身压迫；自己可移动	关闭目标本次追身或锁定附加效果	阴值≥7：自己退距1档	合值≥10：本次不触发普通追击	阴阳差≥5：自身迟滞1层	阴盛	截击气骰入息库	身法截击不取消所有伤害，只处理追身/锁定								
RG007	WG006	燕回侧步	应招	是	成招后、落果前	2枚气骰	至少1阴	宽势	阴盛/合势/圆融/失势	自己成为近身气血或位置结果目标；需有可移动空间	抵消气血2点或取消退距结果（二选一）	阴值≥7：额外抵消气血2点	合值≥10：自己取得遮蔽	阴阳差≥5：自身迟滞1层	不改势	应招气骰入息库	可作为低阶通用身法应招								
RG008	WG007	回身护肩	应招	是	成招后、落果前	2枚气骰	至少1阴	宽势	阴盛/合势/圆融	相邻同伴所在目标线受气血结果；自己可介入	抵消该目标线气血4点	阴值≥7：额外抵消气血3点	合值≥10：自己可承接该目标线剩余气血结果	阴阳差≥5：自身迟滞1层	不改势	应招气骰入息库	护人应招挂载在护人招式，不再单列成独立泛用招								
RG009	WG008	截腕挑锋	截击	是	宣言后、配置前	2枚气骰	至少1阴	宽势	阴盛/合势/失势	近身；对方依赖手中兵器宣言	目标1枚锁气本次不能进入阳槽	阴值≥7：该气骰改入息库	合值≥10：目标本次失去持械许可	阴阳差≥5：自身破口1层	阴盛	截击气骰入息库	典型挂载截击，处理装备许可								
RG010	WG009	夺器压腕	截击	是	宣言后、配置前	4枚气骰	至少2阴	中势	阴盛/圆融	近身；目标宣言持械中强招式；目标武器未固定	目标装备许可关闭至本次动作结束	阴值≥9：目标武器脱手落在近身区域	合值≥14：目标本次动作不成招	阴阳差≥6：自身破口1层	阴盛	截击气骰入息库	强缴械截击要求势和高投入								
RG011	FM001	听痕辨路	截击	是	宣言后、配置前	2枚气骰	至少1阴	无势	任意	同一区域；目标正在隐匿、误导或掩盖痕迹	关闭目标本次隐匿/误导的1项附加触发	阴值≥7：解密+1	合值≥10：危机-1	阴阳差≥5：危机+1	不改势	截击气骰入息库	情景法门也可挂轻截击，但不应转成战斗万能反制								
RG012	FM002	行气解穴	应招	是	成招后、落果前	3枚气骰	至少1原始	无势	任意	自己或接触同伴即将获得封穴；需行气许可	将本次封穴结果-1层	阴值≥8：本轮该六根对应气骰不被封锁	合值≥12：再降低1层封穴	阴阳差≥5：施法者失势	不改势	应招气骰入息库	处理落果前封穴，不治疗								
RG013	FM003	压场问话	截击	是	宣言后、配置前	2枚气骰	至少1阳	无势	任意	同场可闻；目标正在煽动、威慑或号令	目标本次情景法门的危机降低效果关闭	阳值≥7：危机-1	合值≥10：写入“暂时压住场面”许可	阴阳差≥5：关系事实写入“冒犯某人”	不改势	截击气骰入息库	只处理话术/号令类目标，不截击武器动作								
RG014	FM003	压场问话	应招	是	成招后、落果前	2枚气骰	至少1阳	无势	任意	自己或同伴即将承受交涉压力、恐吓或关系恶化	取消1项轻关系恶化或危机+1	阳值≥7：反写“对方露怯”事实	合值≥10：获得1项追问入口	阴阳差≥5：自身关系事实写入“过激发言”	不改势	应招气骰入息库	交涉应招是情景响应，不是战斗应招								
RG015	FM004	简药止血	应招	是	成招后、落果前	2枚气骰	至少1阴	无势	任意	接触目标即将获得流血或气血伤害；有材料	本次气血结果-2，或流血结果-1层（二选一）	阴值≥7：额外气血结果-2	合值≥10：流血再-1层	阴阳差≥5：药物资源消耗+1	不改势	应招气骰入息库；材料按条目消耗	药物结果必须明确，不写模糊稳定压力								

=== Sheet: 03_势生态表 ===
强度/类型	势条件类型	推荐允许势范围	前置招式使用	最低投入建议	设计说明																				
低级起式/基础招	无势或宽势	任意，或阴盛/阳盛/合势/失势中3—5项	不设	1—2枚气骰	多数招式可直接声明，不把玩家锁死在固定顺序。																				
低级应招/轻截击	宽势	阴盛/阳盛/合势/失势/圆融中3—4项	不设	1—2枚气骰	只处理轻结果或特定目标线，不能既断招又高伤害。																				
中级主攻/拆招	中势	2—3项，例如阳盛/合势/圆融	原则不设	3—4枚气骰	主要用势和投入体现招式门槛。																				
强力截击	中势或单势	1—2项，例如阴盛/圆融	不设或只设场景许可	3—5枚气骰	专门处理势前置、装备许可、强招声明。																				
强力应招	中势或单势	1—2项，例如合势/圆融	不设	3—5枚气骰	可处理强落果，但不得回头否定已合法宣言。																				
绝式/终结招	单势	圆融、崩势、阴盛、阳盛等指定1项	不设通用链式前置	6枚以上气骰	用单势、大投入、风险和装备许可取代固定招式链。																				
专门剧情/秘传招	单势+特殊条件	指定1项势并附场景/身份/资源许可	允许写硬前置，但必须少见	按条目	只有秘传、剧情、仪式型条目保留硬前置。																				

=== Sheet: 04_便行表 ===
便行ID	名称	类型	时点	最低投入	气性门槛	势条件	对象/许可	明确效果	限制	资源去向															
BX001	移步	出手便行	自己回合	1枚气骰	任意	无势	自己；合法空间	改变1档位置或取得明确站位	不能穿越强封锁；不能稳定脱离纠缠	已用气骰入息库															
BX002	整身	出手便行	自己回合	1枚气骰	任意	无势	自己；姿态散乱、倒地、迟滞或轻破口	起身，或迟滞-1，或关闭轻破口（二选一）	不能清强状态	已用气骰入息库															
BX003	援手	出手便行	自己回合	1枚气骰	任意	无势	相邻同伴或物件；无人强争夺	扶起、递物、拉离普通边缘（三选一）	不能替同伴应招	已用气骰入息库															
BX004	取物	出手便行	自己回合	1枚气骰	任意	无势	可及且未被争夺的物件	取出或拾起一件可及物	有人争夺时改正式出手	已用气骰入息库															
BX005	闭息	出手便行	自己回合	1枚气骰	任意	无势	烟尘、毒雾、水压等短压力	本轮抵抗一次轻环境压力	不能解毒，不能治疗	已用气骰入息库															
BX006	调息	出手便行	自己回合	1枚气骰作息引	任意	无势	息库有可回收常规气骰	按规则或条目从息库取回常规气骰，重掷入气海	只回气骰，不治疗、不清状态、不改势	息引入息库；取回气骰入气海															
BX007	返照	随手便行·特殊	获得行动机会且断气	0枚气骰	无	无势	气池和气海均无可用常规气骰	取回1枚最低阶本命气骰，重掷入气海	保底回气，不提供攻击、防护、治疗	取回气骰入气海															
BX008	短话示意	随手便行	自己回合/响应回合	0枚气骰	无	无势	同场可见或可闻同伴	说一句短话或作简单示意	不能完成交涉、威慑、命令	无															
BX009	换握丢弃	随手便行	自己回合/响应回合	0枚气骰	无	无势	已持物件	换握已持武器或丢弃手中小物	不能拔新武器、不能夺物	无															

=== Sheet: 05_字段字典 ===
字段	所在表	口径	示例/枚举																						
势条件类型	主表/响应明细	无势、宽势、中势、单势。越强的招式或响应，势条件越窄。	无势；宽势；中势；单势																						
允许势范围	主表/响应明细	写明该用法允许在哪些势状态下声明。低级招式写范围，不锁单势。	阴盛/阳盛/合势/失势																						
硬前置说明	主表	默认无。只在秘传、剧情、仪式、特殊强招中保留。	无；需场景许可；需某资源																						
挂载截击/挂载应招	主表	标记该招式是否具有可在响应窗口单独调用的挂载模块。	是；否																						
响应类型	响应明细	截击处理成招前条件；应招处理成招后落果前结果。	截击；应招																						
可单独调用	响应明细	响应窗口调用挂载用法时，只结算该响应模块，不自动结算主用法。	是																						
响应最低投入	响应明细	截击/应招有自己的投入，不沿用主用法。	2枚气骰；3枚气骰																						
装备许可	主表/响应明细	写明主手、副手、双手、盾牌、工具等许可。盾牌归武器。	主手刀；副手盾；开锁针																						
资源去向	全表	必须写清已用常规气骰、临时气骰、装备或资源的去向。	入息库；消失；入气海																						
删除项	全表	不再把前一招作为多数招式的默认前置。	旧字段：前置招式/上一招成招																						
