
=== Sheet: 00_总目录 ===
大梁江湖TRPG 大小样库						
生成日期	2026年6月19日					
说明	合并近期已确定口径的小样库；各库保持独立工作表，便于后续扩容为正式数据库。					
库名	来源文件	合并工作表数	合并后工作表前缀	当前口径	备注	
内功	内功库小样本_修正版_2026年6月19日.xlsx	6	内功	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。		
招式	招式库小样本_单表版_2026年6月19日.xlsx	5	招式	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。		
装备	装备库小样本_2026年6月19日.xlsx	8	装备	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。	谱本不放文书库；装备库做完后需回滚招式库的持握/装备许可字段。	
药物	药物库小样本_修正版_2026年6月19日.xlsx	6	药物	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。		
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	6	坐骑	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。		
文书	文书物品库小样本_2026年6月19日.xlsx	6	文书	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。		
库名	来源文件	源工作表	合并后工作表	数据行数	列数	口径
内功	内功库小样本_修正版_2026年6月19日.xlsx	01_总览	内功_01_总览	6	13	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	02_表属性运算	内功_02_表属性运算	75	12	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	03_取气运算	内功_03_取气运算	75	14	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	04_取气映射	内功_04_取气映射	10	6	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	05_被动	内功_05_被动	12	9	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	06_开发者平衡	内功_06_开发者平衡	6	15	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
招式	招式库小样本_单表版_2026年6月19日.xlsx	01_招式主视图	招式_01_招式主视图	23	21	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	02_槽值触发明细	招式_02_槽值触发明细	42	9	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	03_便行与随手便行	招式_03_便行与随手便行	9	10	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	04_强度标尺	招式_04_强度标尺	9	6	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	05_数据字典	招式_05_数据字典	9	4	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
装备	装备库小样本_2026年6月19日.xlsx	01_装备主表	装备_01_装备主表	19	14	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	02_表属性贡献	装备_02_表属性贡献	11	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	03_常规气骰	装备_03_常规气骰	3	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	04_临时气骰	装备_04_临时气骰	4	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	05_装备许可	装备_05_装备许可	16	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	06_被动与状态	装备_06_被动与状态	6	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	07_开发者平衡	装备_07_开发者平衡	11	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	08_字典	装备_08_字典	13	3	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
药物	药物库小样本_修正版_2026年6月19日.xlsx	01_药物主表	药物_01_药物主表	13	11	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	02_效果明细	药物_02_效果明细	13	9	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	03_临时气骰	药物_03_临时气骰	3	10	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	04_代价限制	药物_04_代价限制	4	6	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	05_开发者平衡	药物_05_开发者平衡	13	10	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	06_口径字典	药物_06_口径字典	7	2	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	01_坐骑载具主表	坐骑_01_坐骑载具主表	10	12	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	02_效果明细	坐骑_02_效果明细	10	8	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	03_临时气骰	坐骑_03_临时气骰	2	10	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	04_状态规则	坐骑_04_状态规则	6	4	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	05_开发者平衡	坐骑_05_开发者平衡	10	10	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	06_口径字典	坐骑_06_口径字典	4	2	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
文书	文书物品库小样本_2026年6月19日.xlsx	01_文书物品主表	文书_01_文书物品主表	12	11	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	02_效果明细	文书_02_效果明细	12	8	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	03_查验限制	文书_03_查验限制	6	5	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	04_资源状态	文书_04_资源状态	6	3	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	05_开发者平衡	文书_05_开发者平衡	12	9	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	06_口径字典	文书_06_口径字典	5	2	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。

=== Sheet: 00_全局口径 ===
规则对象	确定口径
气骰	统一写“气骰”，不是“气头”。口语可说气头，表格与规则字段一律写气骰。
内功	内功通过读取六根运算，产出表属性贡献和取气值；不写式位，不直接进交锋。
招式	招式包含外功、法门、截击、应招；基础效果固定，槽值触发才读取表属性。
装备	装备库只含武器、护甲、佩饰、器具；药物、文书物品、坐骑载具另库。
武器	武器分主手、副手、双手；盾牌归武器。
护甲	护甲分上装和下装。
佩饰	佩饰最多同时生效1件。
药物	必须写明确数值、时点、落果，不写“压力”“风险”“延缓一次”等模糊字段。
谱本	谱本不放文书物品库，后续归外功、法门、武艺成长体系。
待回滚事项	装备库确定后，回滚招式库：持握方式、装备许可、主副手/双手、脱手/缴械/损坏关闭条件。

=== Sheet: 内功_01_总览 ===
内功ID	内功名	层级	阴阳标签	占窍	占窍数	读取六根组	重数上限	被动摘要	散功处理	并行限制	获取来源	玩家可见说明
NG001	小周天养息功	俗家	中平	丹田	1	顶门、丹田、命门、心口、目窍、步根	三重	三重运行：调息额外取回1枚任意常规气骰；沉淀后弱化为取回1枚最低阶常规气骰。	散功后停止表属性运算与取气运算；若已沉淀，仅保留弱化被动。	无	武馆、镖局、基础师承	基础内功；读全六根；用于让开局每个六根都有作用。
NG002	铁衣伏虎劲	行家	少阳、厚重	命门	1	丹田、命门、心口	四重	运行：每场景第一次承受气血结果时，可先以护体处理2点；高重增强硬抗。	散功后停止护体、取气与气血运算；沉淀后可保留一次轻护体被动。	可选：与极阴禁功并行时关闭沉淀被动	军镇、镖局、拳馆	硬功路线；读得少，所以单根转化强。
NG003	照影观微诀	行家	少阴、轻灵	目窍	1	顶门、目窍、步根	四重	运行：每场景第一次识破失败时，可获得一条明显错误方向；高重改善读谱与查探。	散功后停止观照、身势、阴气取气；沉淀后保留一次读谱误读缓冲。	无	书院、密探、游侠师承	观照与身势路线；适合查探、识破、潜行、截击判断。
NG004	沧澜归息诀	神功	混元、中平	丹田、顶门	2	顶门、丹田、命门、心口、目窍、步根	五重	运行：调息类与行气类条目更稳；圆满后可把一次返照改为指定气性。	散功后停止神功取气与高重运算；沉淀后仅留极弱返照被动。	与血行、毒行禁功并行时需开发者审查	大派核心、剧情谱本	高位均衡神功；占两窍，读全六根，覆盖广但受上限警戒。
NG005	九死燃命经	禁功	极阳、血行	命门、心口	2	命门、心口	五重	运行：濒死前后有强爆发和返气潜力；代价由禁功条目或场景写入。	散功按禁功处理，停止全部运算，并可能写入长期伤势。	不与极阴、清静调息类内功并行	禁传残卷、黑市、剧情	高风险窄读禁功；读两根，所以单根系数高，但必须限制。
NG006	寒江夜行功	俗家	少阴、轻灵	步根	1	目窍、步根、丹田	三重	运行：每场景第一次脱离失败时，不额外获得迟滞；沉淀后改为整身轻修正。	散功后停止身势、观照与阴气取气；沉淀后保留弱化脱离被动。	无	船帮、夜行客、渡口黑市	俗家偏身法；读三根，强于全读基础功的单根效率。

=== Sheet: 内功_02_表属性运算 ===
内功ID	内功名	重数	读取六根	转入表属性	六根值变量	示例六根值	乘数	加值	运算式	示例贡献	口径说明
NG001	小周天养息功	二重	目窍	阴	目窍值	4	1	1	目窍值×1+1	5	QMAP_STD	1枚d6	稳定到d6；不直接给固定数量。
NG001	小周天养息功	二重	步根	阴	步根值	4	1	1	步根值×1+1	5	QMAP_STD	1枚d6	稳定到d6；不直接给固定数量。
NG001	小周天养息功	三重	顶门	原始	顶门值	5	1	2	顶门值×1+2	7	QMAP_STD	1枚d8	可自然出现d8；总规模由映射和警戒控制。
NG001	小周天养息功	三重	丹田	原始	丹田值	4	1	2	丹田值×1+2	6	QMAP_STD	1枚d6	可自然出现d8；总规模由映射和警戒控制。
NG001	小周天养息功	三重	命门	阳	命门值	5	1	2	命门值×1+2	7	QMAP_STD	1枚d8	可自然出现d8；总规模由映射和警戒控制。
NG001	小周天养息功	三重	心口	阳	心口值	3	1	2	心口值×1+2	5	QMAP_STD	1枚d6	可自然出现d8；总规模由映射和警戒控制。
NG001	小周天养息功	三重	目窍	阴	目窍值	4	1	2	目窍值×1+2	6	QMAP_STD	1枚d6	可自然出现d8；总规模由映射和警戒控制。
NG001	小周天养息功	三重	步根	阴	步根值	4	1	2	步根值×1+2	6	QMAP_STD	1枚d6	可自然出现d8；总规模由映射和警戒控制。
NG002	铁衣伏虎劲	一重	丹田	原始	丹田值	4	1	1	丹田值×1+1	5	QMAP_STD	1枚d6	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	一重	命门	阳	命门值	5	1	1	命门值×1+1	6	QMAP_STD	1枚d6	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	一重	心口	阳	心口值	3	1	1	心口值×1+1	4	QMAP_STD	1枚d6	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	二重	丹田	原始	丹田值	4	2	0	丹田值×2+0	8	QMAP_STD	1枚d8	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	二重	命门	阳	命门值	5	2	0	命门值×2+0	10	QMAP_STD	1枚d10	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	二重	心口	阳	心口值	3	2	0	心口值×2+0	6	QMAP_STD	1枚d6	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	三重	丹田	原始	丹田值	4	2	1	丹田值×2+1	9	QMAP_STD	1枚d8	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	三重	命门	阳	命门值	5	2	1	命门值×2+1	11	QMAP_STD	1枚d10	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	三重	心口	阳	心口值	3	2	1	心口值×2+1	7	QMAP_STD	1枚d8	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	四重	丹田	原始	丹田值	4	2	2	丹田值×2+2	10	QMAP_STD	1枚d10	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	四重	命门	阳	命门值	5	2	2	命门值×2+2	12	QMAP_STD	1枚d10	三根取气，单根取气值强于全读。
NG002	铁衣伏虎劲	四重	心口	阳	心口值	3	2	2	心口值×2+2	8	QMAP_STD	1枚d8	三根取气，单根取气值强于全读。
NG003	照影观微诀	一重	顶门	原始	顶门值	5	1	1	顶门值×1+1	6	QMAP_STD	1枚d6	观照/身势路线取气。
NG003	照影观微诀	一重	目窍	阴	目窍值	4	1	1	目窍值×1+1	5	QMAP_STD	1枚d6	观照/身势路线取气。
NG003	照影观微诀	一重	步根	阴	步根值	4	1	1	步根值×1+1	5	QMAP_STD	1枚d6	观照/身势路线取气。
NG003	照影观微诀	二重	顶门	原始	顶门值	5	1	2	顶门值×1+2	7	QMAP_STD	1枚d8	观照/身势路线取气。
NG003	照影观微诀	二重	目窍	阴	目窍值	4	1	2	目窍值×1+2	6	QMAP_STD	1枚d6	观照/身势路线取气。
NG003	照影观微诀	二重	步根	阴	步根值	4	1	2	步根值×1+2	6	QMAP_STD	1枚d6	观照/身势路线取气。
NG003	照影观微诀	三重	顶门	原始	顶门值	5	2	0	顶门值×2+0	10	QMAP_STD	1枚d10	观照/身势路线取气。
NG003	照影观微诀	三重	目窍	阴	目窍值	4	2	0	目窍值×2+0	8	QMAP_STD	1枚d8	观照/身势路线取气。
NG003	照影观微诀	三重	步根	阴	步根值	4	2	0	步根值×2+0	8	QMAP_STD	1枚d8	观照/身势路线取气。
NG003	照影观微诀	四重	顶门	原始	顶门值	5	2	1	顶门值×2+1	11	QMAP_STD	1枚d10	观照/身势路线取气。
NG003	照影观微诀	四重	目窍	阴	目窍值	4	2	1	目窍值×2+1	9	QMAP_STD	1枚d8	观照/身势路线取气。
NG003	照影观微诀	四重	步根	阴	步根值	4	2	1	步根值×2+1	9	QMAP_STD	1枚d8	观照/身势路线取气。
NG004	沧澜归息诀	一重	顶门	原始	顶门值	5	1	2	顶门值×1+2	7	QMAP_STD	1枚d8	神功全读：开发端另看总规模。
NG004	沧澜归息诀	一重	丹田	原始	丹田值	4	1	2	丹田值×1+2	6	QMAP_STD	1枚d6	神功全读：开发端另看总规模。
NG004	沧澜归息诀	一重	命门	阳	命门值	5	1	2	命门值×1+2	7	QMAP_STD	1枚d8	神功全读：开发端另看总规模。
NG004	沧澜归息诀	一重	心口	阳	心口值	3	1	2	心口值×1+2	5	QMAP_STD	1枚d6	神功全读：开发端另看总规模。
NG004	沧澜归息诀	一重	目窍	阴	目窍值	4	1	2	目窍值×1+2	6	QMAP_STD	1枚d6	神功全读：开发端另看总规模。
NG004	沧澜归息诀	一重	步根	阴	步根值	4	1	2	步根值×1+2	6	QMAP_STD	1枚d6	神功全读：开发端另看总规模。
NG004	沧澜归息诀	三重	顶门	原始	顶门值	5	2	1	顶门值×2+1	11	QMAP_STD	1枚d10	神功全读：开发端另看总规模。
NG004	沧澜归息诀	三重	丹田	原始	丹田值	4	2	1	丹田值×2+1	9	QMAP_STD	1枚d8	神功全读：开发端另看总规模。
NG004	沧澜归息诀	三重	命门	阳	命门值	5	2	1	命门值×2+1	11	QMAP_STD	1枚d10	神功全读：开发端另看总规模。
NG004	沧澜归息诀	三重	心口	阳	心口值	3	2	1	心口值×2+1	7	QMAP_STD	1枚d8	神功全读：开发端另看总规模。
NG004	沧澜归息诀	三重	目窍	阴	目窍值	4	2	1	目窍值×2+1	9	QMAP_STD	1枚d8	神功全读：开发端另看总规模。
NG004	沧澜归息诀	三重	步根	阴	步根值	4	2	1	步根值×2+1	9	QMAP_STD	1枚d8	神功全读：开发端另看总规模。
NG004	沧澜归息诀	五重	顶门	原始	顶门值	5	2	4	顶门值×2+4	14	QMAP_STD	1枚d12或1枚d10+1枚d4	神功全读：开发端另看总规模。
NG004	沧澜归息诀	五重	丹田	原始	丹田值	4	2	4	丹田值×2+4	12	QMAP_STD	1枚d10	神功全读：开发端另看总规模。
NG004	沧澜归息诀	五重	命门	阳	命门值	5	2	4	命门值×2+4	14	QMAP_STD	1枚d12或1枚d10+1枚d4	神功全读：开发端另看总规模。
NG004	沧澜归息诀	五重	心口	阳	心口值	3	2	4	心口值×2+4	10	QMAP_STD	1枚d10	神功全读：开发端另看总规模。
NG004	沧澜归息诀	五重	目窍	阴	目窍值	4	2	4	目窍值×2+4	12	QMAP_STD	1枚d10	神功全读：开发端另看总规模。
NG004	沧澜归息诀	五重	步根	阴	步根值	4	2	4	步根值×2+4	12	QMAP_STD	1枚d10	神功全读：开发端另看总规模。
NG005	九死燃命经	一重	命门	阳	命门值	5	2	1	命门值×2+1	11	QMAP_RISK	1枚d10	禁功取气强，映射表带风险产出。
NG005	九死燃命经	一重	心口	阳	心口值	3	2	1	心口值×2+1	7	QMAP_RISK	1枚d8	禁功取气强，映射表带风险产出。
NG005	九死燃命经	三重	命门	阳	命门值	5	3	1	命门值×3+1	16	QMAP_RISK	1枚d12或1枚d10+1枚d4（风险）	禁功取气强，映射表带风险产出。
NG005	九死燃命经	三重	心口	阳	心口值	3	3	1	心口值×3+1	10	QMAP_RISK	1枚d10	禁功取气强，映射表带风险产出。
NG005	九死燃命经	五重	命门	阳	命门值	5	3	4	命门值×3+4	19	QMAP_RISK	1枚d12或1枚d10+1枚d4（风险）	禁功取气强，映射表带风险产出。
NG005	九死燃命经	五重	心口	阳	心口值	3	3	4	心口值×3+4	13	QMAP_RISK	1枚d12或1枚d10+1枚d4（风险）	禁功取气强，映射表带风险产出。
NG006	寒江夜行功	一重	目窍	阴	目窍值	4	1	1	目窍值×1+1	5	QMAP_STD	1枚d6	俗家偏身法。
NG006	寒江夜行功	一重	步根	阴	步根值	4	1	2	步根值×1+2	6	QMAP_STD	1枚d6	俗家偏身法。
NG006	寒江夜行功	一重	丹田	原始	丹田值	4	1	1	丹田值×1+1	5	QMAP_STD	1枚d6	俗家偏身法。
NG006	寒江夜行功	二重	目窍	阴	目窍值	4	2	0	目窍值×2+0	8	QMAP_STD	1枚d8	俗家偏身法。
NG006	寒江夜行功	二重	步根	阴	步根值	4	2	1	步根值×2+1	9	QMAP_STD	1枚d8	俗家偏身法。
NG006	寒江夜行功	二重	丹田	原始	丹田值	4	1	0	丹田值×1+0	4	QMAP_STD	1枚d6	俗家偏身法。
NG006	寒江夜行功	三重	目窍	阴	目窍值	4	2	1	目窍值×2+1	9	QMAP_STD	1枚d8	俗家偏身法。
NG006	寒江夜行功	三重	步根	阴	步根值	4	2	2	步根值×2+2	10	QMAP_STD	1枚d10	俗家偏身法。
NG006	寒江夜行功	三重	丹田	原始	丹田值	4	1	1	丹田值×1+1	5	QMAP_STD	1枚d6	俗家偏身法。

=== Sheet: 内功_04_取气映射 ===
映射表ID	取气值下限	取气值区间	产出气骰	玩家可见说明	开发者警戒
QMAP_STD	1	1—3	1枚d4	气机初成，低阶可用。	适合初始/低重。
QMAP_STD	4	4—6	1枚d6	气机稳定。	常见基础成长。
QMAP_STD	7	7—9	1枚d8	气机成势。	中阶起常见。
QMAP_STD	10	10—12	1枚d10	强根或高重运行。	注意高阶招门槛。
QMAP_STD	13	13以上	1枚d12，或1枚d10+1枚d4	高阶强取气，按条目许可。	需看总气骰规模，不直接无限放开。
QMAP_RISK	1	1—3	1枚d4	禁功低位仍可取气。	风险表不代表收益免费。
QMAP_RISK	4	4—6	1枚d6	气机偏烈。	可加禁功代价。
QMAP_RISK	7	7—9	1枚d8	高压取气。	可标记失势/崩势风险。
QMAP_RISK	10	10—12	1枚d10	强取气。	建议并行限制。
QMAP_RISK	13	13以上	1枚d12或1枚d10+1枚d4（风险）	禁功高位。	必须开发者审查。

=== Sheet: 内功_05_被动 ===
内功ID	内功名	重数/阶段	被动文本	触发时点	限制	是否沉淀保留	沉淀弱化文本	设计轴
NG001	小周天养息功	二重	每场景第一次调息，可额外取回1枚最低阶常规气骰。	调息落果后	每场景一次	否		丹田/基础续航
NG001	小周天养息功	三重	调息时，额外取回1枚任意常规气骰。	调息落果后	每次调息最多一次	是	散功后若已沉淀：调息时额外取回1枚最低阶常规气骰。	丹田/续航
NG002	铁衣伏虎劲	二重	每场景第一次承受气血结果时，先获得护体2处理该结果。	气血结果落果前	每场景一次	否		命门/护体
NG002	铁衣伏虎劲	四重	若承受气血结果后仍未濒死，下一次调息可额外取回1枚最低阶阳气或原始气。	受伤后至下次调息	每轮一次	是	沉淀后：每场景第一次受伤，护体1。	命门/伤后稳气
NG003	照影观微诀	二重	每场景第一次识破失败时，可要求主持人说明一个明显错误方向。	查探或识破落果后	每场景一次	否		目窍/观照
NG003	照影观微诀	四重	整理谱本时，若产生误读，可将一次误读改为“待确认”。	整备/读谱结算	每场景一次	是	沉淀后：每大场景一次，读谱误读先标为待确认。	顶门目窍/读谱
NG004	沧澜归息诀	三重	每场景第一次返照时，可指定取回气骰的气性。	返照时	每场景一次	否		神功/返照
NG004	沧澜归息诀	五重	行气类法门成招后，可把1枚最低阶已用常规气骰改回气海。	行气法门落果后	每轮一次，同源不叠	是	沉淀后：每场景第一次返照可指定气性。	神功/行气循环
NG005	九死燃命经	三重	进入濒死前，可选择立即取回1枚最高阶阳气常规气骰并获得破口1层。	濒死前	每场景一次	否		禁功/燃命
NG005	九死燃命经	五重	阳值触发造成有效气血结果后，可返还1枚本招最低阶阳气常规气骰；同时记录燃命压力。	主攻落果后	每轮一次；需禁功代价	否		禁功/返气代价
NG006	寒江夜行功	二重	每场景第一次脱离失败时，不额外获得迟滞。	脱离落果后	每场景一次	否		步根/身势
NG006	寒江夜行功	三重	跌倒后第一次整身可作为低消耗出手便行处理。	整身时	每场景一次	是	沉淀后：每场景第一次整身不提高危机。	步根/夜行

=== Sheet: 内功_06_开发者平衡 ===
内功ID	内功名	设计强度档	预期阶段	占窍数	读取六根数量	层级	重数上限	预期表属性贡献	预期取气规模	取气上限警戒	骰阶上限警戒	并行限制	超模风险	备注
NG001	小周天养息功	B	初始—初阶	1	6	俗家	三重	低—中，覆盖广	约6—10枚，低骰阶	10枚	d8	无	低	基础功读全六根，单根系数克制。
NG002	铁衣伏虎劲	A	中阶	1	3	行家	四重	中—高，气血/护体/爆发集中	约8—14枚，阳气较多	14枚	d10	可选：极阴冲突	中	读三根，强度来自专精。
NG003	照影观微诀	A	中阶	1	3	行家	四重	中—高，观照/身势集中	约8—14枚，阴气较多	14枚	d10	无	中	适合查探与拆招路线。
NG004	沧澜归息诀	S	高阶—神功阶段	2	6	神功	五重	高，覆盖全局	约18—28枚，混元	28枚	d12	血行/毒行审查	高	占两窍读全六根，必须看总规模。
NG005	九死燃命经	S	神功阶段/禁功线	2	2	禁功	五重	极高，气血/爆发集中	约16—30枚，阳气强	30枚	d12	极阳极阴冲突	极高	双根极端，必须有代价。
NG006	寒江夜行功	B	初阶—中阶	1	3	俗家	三重	中，观照/身势/回气	约7—12枚，阴气偏多	12枚	d8	无	低—中	俗家偏身法样本。

=== Sheet: 招式_01_招式主视图 ===
招式ID	招式名	大类	子类	层级	设计档	阴阳路数标签	时点/行动	式位	最低投入	气性门槛	势门槛	前置门槛	对象/距离/装备	基础效果	主槽触发	合值触发	差值/风险	成招后转势	资源去向	设计备注
WG001	破浪横刀	外功	主攻	俗家	C	少阳	正式出手	起式	2枚气骰	至少1阳	不设指定势	无	近身人物目标；需刀或同类短兵	造成气血4点	阳值≥7：追加气血3点	合值≥10：目标退距1档	阴阳差≥5：自身破口1层	阳盛	已用常规骰入息库	起式低门槛、低效果，用于打开刀路线
WG002	回潮压刃	外功	主攻	俗家	B	少阳	正式出手	承式	3枚气骰	至少1阴1阳	阳盛	破浪横刀已成招，或有“刀势已开”前置	近身人物目标；需刀	造成气血5点	阳值≥8：追加气血3点	合值≥12：打开“刀势已圆”	阴阳差≥5：自身转入失势	合势	已用常规骰入息库	承式读取起式前置，伤害高于起式
WG003	分涛断势	外功	拆招	行家	B	中平	截击	转式	2枚气骰	至少1阴	目标正依赖势或连招前置宣言	目标存在连招前置或指定势门槛	近身或相邻目标线；需可介入	关闭目标1项连招前置	阴值≥8：目标本次由当前势转入失势	合值≥12：目标锁气中1枚最低点骰入息库	阴阳差≥5：自身迟滞1层	自身阴盛	截击骰入息库	截击窄口强，主要破门槛，不做高伤害
WG004	收刀归息	外功	收式	俗家	B	中平	正式出手	收式	2枚气骰	任意气性	合势或圆融	本回合曾使用本谱外功	自己；需可收束姿态	自身破口-1或迟滞-1（二选一）	阴值≥7：额外降低1层轻交锋状态	合值≥10：取回1枚最低阶已用常规气骰入气海；限每轮1次	阴阳差≥5：自身失势	圆融	未回收的已用骰入息库	回气主要放在收式，且只回最低阶
WG005	沧浪一线	外功	绝式	行家	A	少阳	正式出手	绝式	6枚气骰	至少3阳2阴	圆融	刀势已圆	近身人物目标；需刀	造成气血10点	阳值≥16：追加气血=爆发×1	合值≥22：目标失衡2层	阴阳差≥7：自身崩势	未触发风险为圆融；触发风险为崩势	全部入息库；无普通回气	强招靠强势、前置和大投入开启
WG006	燕回侧步	外功	身法	俗家	C	少阴	正式出手	起式	2枚气骰	至少1阴	不设指定势	无	自己；近身或相邻距离	移步1档或取得遮蔽	阴值≥7：不触发普通追身机会	合值≥10：关闭一条普通目标线到本动作结束	阴阳差≥5：自身迟滞1层	阴盛	已用常规骰入息库	身法起式低门槛，铺身法路线
WG007	回身护肩	外功	护人	俗家	B	少阴	应招	应招	2枚气骰	至少1阴	不读取势门槛	自己或相邻同伴所在目标线受气血结果	自己或相邻目标线	抵消气血4点	阴值≥7：额外抵消气血3点	合值≥10：可承接该目标线剩余结果	阴阳差≥5：自身迟滞1层	不改势	应招骰入息库	应招防守强，进攻弱，不赚太多
WG008	截腕挑锋	外功	拆招	俗家	B	少阴	截击	截击	2枚气骰	至少1阴	目标宣言持械外功	无	近身目标；对方依赖手中兵器	目标1枚锁气本次不能进入阳槽	阴值≥7：该气骰改入息库	合值≥10：目标本次失去持械许可	阴阳差≥5：自身破口1层	自身阴盛	截击骰入息库	截击处理锁气、装备许可，不降阶
